Year,Australia,Canada,China,Egypt,India,Indonesia,Japan,Russia,Saudi_Arabia,South_Africa,South_Korea,Thailand,Turkey,UK,US,Vietnam
1837,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
1838,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
1839,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
1840,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0
1841,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0
1842,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0
1843,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0
1844,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0
1845,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,0
1846,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0
1847,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0
1848,0,0,0,0,0,0,0,23,0,0,0,0,0,0,15,0
1849,0,0,0,0,0,0,0,23,0,0,0,0,0,0,60,0
1850,0,0,0,0,0,0,0,23,0,0,0,0,0,0,75,0
1851,10,0,0,0,0,0,0,25,0,0,0,0,0,0,83,0
1852,86,0,0,0,0,0,0,25,0,0,0,0,0,0,90,0
1853,93,0,0,0,0,0,0,25,0,0,0,0,0,0,98,0
1854,71,0,0,0,0,0,0,25,0,0,0,0,0,0,90,0
1855,87,0,0,0,0,0,0,27,0,0,0,0,0,0,83,0
1856,94,0,0,0,0,0,0,27,0,0,0,0,0,0,83,0
1857,88,0,0,0,0,0,0,27,0,0,0,0,0,0,83,0
1858,84,0,0,0,0,0,0,27,0,0,0,0,0,0,75,0
1859,78,0,0,0,0,0,0,27,0,0,0,0,0,0,75,0
1860,76,0,0,0,0,0,0,24,0,0,0,0,0,0,69,0
1861,73,0,0,0,0,0,0,24,0,0,0,0,0,0,65,0
1862,69,0,0,0,0,0,0,24,0,0,0,0,0,0,59,0
1863,63,0,0,0,0,0,0,24,0,0,0,0,0,0,60,0
1864,58,0,0,0,0,0,0,24,0,0,0,0,0,0,69,0
1865,57,0,0,0,0,0,0,26,0,0,0,0,0,0,80,0
1866,54,0,0,0,0,0,0,30,0,0,0,0,0,0,80,0
1867,53,0,0,0,0,0,0,30,0,0,0,0,0,0,78,0
1868,61,0,0,0,0,0,0,30,0,0,0,0,0,0,72,0
1869,56,0,0,0,0,0,0,30,0,0,0,0,0,0,74,0
1870,49,0,0,0,0,0,0,35,0,0,0,0,0,0,75,0
1871,54,0,0,0,0,0,0,39,0,0,0,0,0,0,65,0
1872,56,0,0,0,0,0,0,38,0,0,0,0,0,0,54,0
1873,50,0,0,0,0,0,0,33,0,0,0,0,0,0,54,0
1874,50,0,0,0,0,0,0,33,0,0,0,0,0,0,50,0
1875,53,0,0,0,0,0,0,33,0,0,0,0,0,0,50,0
1876,44,0,0,0,0,0,0,34,0,0,0,0,0,0,60,0
1877,37,0,0,0,0,0,0,41,0,0,0,0,0,0,71,0
1878,35,0,0,0,0,0,0,42,0,0,0,0,0,0,77,0
1879,34,0,0,0,0,0,0,43,0,0,0,0,0,0,59,0
1880,37,0,0,0,0,0,0,41,0,0,0,0,0,0,54,0
1881,38,0,0,0,0,0,0,39,0,0,0,0,0,0,52,0
1882,37,0,0,0,0,0,0,33,0,0,0,0,0,0,49,0
1883,34,0,0,0,0,0,0,36,0,0,0,0,0,0,45,0
1884,35,0,0,0,0,0,0,33,0,3,0,0,0,0,46,0
1885,34,0,0,0,0,0,0,38,0,2,0,0,0,0,48,0
1886,32,2,0,0,1,0,1,31,0,2,0,0,0,0,52,0
1887,34,2,0,0,1,0,1,30,0,1,0,0,0,0,50,0
1888,35,2,0,0,1,0,1,32,0,5,0,0,0,0,50,0
1889,43,2,0,0,2,0,1,35,0,8,0,0,0,0,50,0
1890,39,2,0,0,3,0,1,38,0,13,0,0,0,0,49,0
1891,39,1,7,0,4,0,1,36,0,25,1,0,0,0,50,0
1892,43,1,12,0,5,0,1,35,0,33,1,0,0,0,50,0
1893,45,2,12,0,6,0,1,42,0,44,1,0,0,0,54,0
1894,55,1,13,0,6,0,1,36,0,61,1,0,0,0,59,0
1895,56,3,7,0,7,0,1,44,0,66,0,0,0,0,70,0
1896,57,4,10,0,9,0,1,47,0,66,1,0,0,0,80,0
1897,72,9,10,0,11,0,1,32,0,87,2,0,0,0,86,0
1898,85,21,10,0,12,0,1,37,0,119,2,0,0,0,97,0
1899,106,32,7,0,13,0,1,36,0,107,3,0,0,0,107,0
1900,99,42,6,0,14,0,2,33,0,9,3,0,0,0,119,0
1901,103,36,5,0,14,1,2,36,0,8,4,0,0,0,118,0
1902,108,32,0,0,14,0,2,37,0,53,0,0,0,0,120,0
1903,119,28,0,0,17,0,3,38,0,93,0,0,0,0,111,0
1904,117,25,0,0,18,0,4,38,0,117,0,0,0,0,122,0
1905,114,22,0,0,18,0,5,33,0,153,0,0,0,0,133,0
1906,107,18,0,0,18,0,5,34,0,180,0,0,0,0,146,0
1907,99,13,0,0,16,0,4,40,0,201,0,0,0,0,131,0
1908,96,15,0,0,16,0,5,47,0,219,0,0,0,0,138,0
1909,92,14,0,0,16,0,5,48,0,227,0,0,0,0,149,0
1910,85,15,6,0,16,0,6,55,0,234,7,0,0,0,142,0
1911,77,15,5,0,16,5,6,35,0,257,4,0,0,0,146,0
1912,72,19,6,0,17,5,7,44,0,283,7,0,0,0,139,0
1913,69,25,5,0,18,4,5,40,0,274,5,0,0,0,134,0
1914,64,24,6,0,17,4,8,43,0,261,5,0,0,0,137,0
1915,61,29,6,0,17,4,8,40,0,283,6,0,0,0,148,0
1916,52,29,5,0,17,4,8,34,0,289,7,0,0,0,137,0
1917,45,23,5,0,16,4,7,27,0,281,6,0,0,0,121,0
1918,40,22,5,0,15,4,8,26,0,262,5,0,0,0,100,0
1919,33,24,5,0,14,3,7,12,0,259,3,0,0,0,86,0
1920,29,24,4,0,16,3,8,2,0,254,2,0,0,0,74,0
1921,24,29,3,0,12,3,7,1,0,252,4,0,0,0,73,0
1922,23,38,3,0,14,3,8,3,0,218,4,0,0,0,71,0
1923,22,38,3,0,12,3,8,4,0,284,3,0,0,0,75,0
1924,21,47,3,0,12,4,8,11,0,298,4,0,0,0,76,0
1925,17,54,3,0,12,4,10,13,0,299,5,0,0,0,72,0
1926,16,55,3,0,12,4,10,15,0,310,7,0,0,0,69,0
1927,16,58,3,0,12,4,10,13,0,315,6,0,0,0,65,0
1928,14,59,0,0,12,4,10,20,0,322,5,0,0,0,67,0
1929,13,60,3,0,11,3,10,20,0,324,6,0,0,0,64,0
1930,15,66,4,0,10,3,12,24,0,333,6,0,0,0,67,0
1931,19,84,5,0,10,3,13,29,0,338,9,0,0,0,69,0
1932,22,95,6,0,10,2,13,33,0,360,10,0,0,0,71,0
1933,26,92,4,0,11,3,14,42,0,343,12,0,0,0,71,0
1934,28,93,4,0,10,2,15,62,0,326,12,0,0,0,86,0
1935,28,102,6,0,10,2,18,75,0,335,15,0,0,0,101,0
1936,37,117,8,0,10,2,22,92,0,353,18,0,0,0,118,0
1937,43,128,9,0,10,2,23,84,0,365,23,0,0,0,128,0
1938,50,148,10,0,10,2,24,89,0,378,28,0,0,0,133,0
1939,51,159,11,0,10,3,26,80,0,399,29,0,0,0,145,0
1940,51,166,11,0,9,3,27,104,1,437,25,0,0,0,152,0
1941,47,167,11,0,9,3,25,0,1,448,26,0,0,0,148,0
1942,36,151,11,0,8,2,23,0,1,439,24,0,0,0,108,0
1943,23,114,3,0,8,1,12,0,1,398,15,0,0,0,42,0
1944,20,91,1,0,6,1,8,0,0,382,8,0,0,0,31,0
1945,20,84,0,0,5,1,3,0,1,380,3,0,0,0,30,0
1946,26,89,0,0,4,1,1,0,1,371,6,0,0,0,49,0
1947,29,96,4,0,5,1,2,0,2,348,10,0,0,0,66,0
1948,28,110,1,0,6,1,3,0,2,360,0,0,0,0,63,0
1949,28,128,1,0,5,0,4,0,2,364,0,0,0,0,62,0
1950,27,138,1,0,6,0,5,0,2,363,1,0,0,0,75,0
1951,28,137,1,0,7,0,6,0,2,358,0,0,0,0,62,0
1952,31,139,1,0,8,0,7,0,2,368,1,0,0,0,59,0
1953,33,127,1,0,7,0,8,0,2,371,1,0,0,0,61,0
1954,35,136,1,0,8,0,9,0,1,412,2,0,0,0,57,0
1955,33,141,1,0,7,0,9,0,0,454,2,0,0,0,56,0
1956,32,136,1,0,7,0,9,0,0,494,2,0,0,0,57,0
1957,34,138,1,0,6,0,9,0,0,530,2,0,0,0,56,0
1958,34,142,1,0,5,0,7,0,0,549,2,0,0,0,54,0
1959,34,140,0,0,5,0,8,0,0,624,2,0,0,0,50,0
1960,34,144,1,0,5,0,8,0,0,665,2,0,0,0,52,0
1961,34,139,1,0,5,0,9,0,0,714,3,0,0,0,48,0
1962,33,130,1,0,5,0,9,0,0,793,2,0,0,0,48,0
1963,32,124,1,0,4,0,8,0,0,854,3,0,0,0,45,0
1964,30,118,1,0,5,0,8,0,0,906,2,0,0,0,45,0
1965,27,112,1,0,4,0,8,0,0,950,2,0,0,0,53,0
1966,29,102,2,0,4,0,8,0,0,961,2,0,0,0,56,0
1967,25,92,2,0,3,0,8,0,0,943,2,0,0,0,49,0
1968,24,84,2,0,4,0,7,0,0,967,2,0,0,0,46,0
1969,22,79,2,0,3,0,8,0,0,970,2,0,0,0,54,0
1970,19,75,2,0,3,0,8,205,0,1002,2,0,0,0,54,0
1971,21,69,2,0,4,0,8,213,0,976,1,0,0,0,47,0
1972,24,63,2,0,3,0,8,224,0,908,1,0,0,0,50,0
1973,17,60,2,0,3,0,8,235,0,856,0,0,0,0,37,0
1974,16,52,2,0,3,0,4,249,0,760,1,0,0,0,35,0
1975,16,52,2,0,3,0,4,241,0,713,0,0,0,0,33,0
1976,16,53,3,0,3,0,4,262,0,713,1,0,0,0,33,0
1977,19,54,28,0,3,0,5,148,0,700,1,0,0,0,34,0
1978,20,54,34,0,3,0,5,148,0,704,1,0,0,0,31,0
1979,20,51,40,0,3,0,4,148,0,704,1,0,0,0,30,0
1980,18,51,45,0,3,0,3,154,0,673,1,0,0,0,30,0
1981,16,49,53,0,3,0,3,157,0,656,1,0,0,0,43,0
1982,22,65,56,0,2,2,3,157,0,663,2,0,0,0,46,0
1983,26,74,58,0,2,2,3,158,0,680,2,0,0,0,62,0
1984,34,83,59,0,2,2,3,159,0,683,3,0,0,0,65,0
1985,49,88,59,0,2,3,5,160,0,678,2,0,0,0,75,0
1986,65,103,66,0,2,3,10,163,0,642,5,0,0,0,116,0
1987,111,116,72,0,2,4,9,154,0,602,8,0,0,0,154,0
1988,129,135,78,0,2,5,7,164,0,618,11,0,0,0,201,0
1989,167,159,90,0,2,5,6,180,3,606,14,0,0,0,266,0
1990,244,167,100,0,2,11,7,179,4,603,21,0,0,0,294,0
1991,234,176,120,0,2,11,8,142,5,599,21,0,0,0,296,0
1992,243,157,140,0,2,38,9,146,6,614,23,0,0,0,329,0
1993,247,151,160,0,2,42,9,150,8,619,10,0,0,0,331,0
1994,255,147,160,0,2,45,10,147,8,580,10,0,0,0,326,0
1995,249,151,140,0,2,64,9,132,8,524,13,0,1,0,317,0
1996,273,165,145,0,3,84,9,120,8,498,14,0,1,0,326,1
1997,299,172,175,0,3,87,8,124,7,491,15,0,1,0,362,1
1998,316,165,178,0,3,124,9,114,5,465,23,0,1,0,366,2
1999,303,158,173,0,3,129,9,126,5,451,26,0,1,0,341,2
2000,299,154,180,0,3,118,8,143,4,431,0,0,1,0,353,3
2001,296,159,185,0,3,166,8,153,4,395,0,0,1,0,335,3
2002,265,152,192,0,3,142,9,168,5,399,0,5,5,0,298,2
2003,278,141,205,0,4,141,8,170,9,376,1,4,7,0,277,2
2004,262,130,215,0,4,87,8,169,8,342,1,5,5,0,258,2
2005,260,120,230,0,3,143,9,163,8,290,0,4,4,0,256,3
2006,250,104,250,0,2,139,9,159,5,270,0,4,8,0,252,3
2007,250,102,280,0,3,118,9,157,4,250,0,3,10,0,238,3
2008,220,97,290,0,2,64,7,184,5,210,0,3,11,0,233,3
2009,220,97,320,0,2,140,8,205,5,200,0,5,14,0,223,3
2010,260,103,350,5,2,120,8,201,4,190,0,4,16,0,231,3
2011,258,100,361,6,2,77,9,185,5,180,0,6,23,0,234,3
2012,253,105,403,8,2,66,7,183,4,154,0,9,28,0,235,3
2013,268,124,430,11,2,60,7,230,4,160,0,4,34,0,230,2
2014,274,151,450,12,2,69,7,249,5,152,0,5,32,0,210,0
2015,278,153,450,14,1,97,8,252,5,145,0,3,25,0,214,0
